ABC News,https://www.abc.net.au/news/feed/51120/rss.xml
9 News,https://www.9news.com.au/rss
Syndey Morning Herald,https://www.smh.com.au/rss/feed.xml
The Australian,https://www.theaustralian.com.au/feed/
SBS Australia,https://www.sbs.com.au/news/feed
Independent Australia,http://feeds.feedburner.com/IndependentAustralia
Daily Telegraph,https://www.dailytelegraph.com.au/feed
The Age,https://www.theage.com.au/rss/feed.xml
Michael West,https://www.michaelwest.com.au/feed/
The Guardian,https://www.theguardian.com/au/rss
